cnt,dteday,season,yr,mnth,hr,holiday,weekday,weathersit,temp,atemp,hum,windspeed
59,02/01/2011,1,0,1,14,0,0,3,0.36,0.3485,0.76,0.194
74,02/01/2011,1,0,1,15,0,0,3,0.34,0.3333,0.81,0.1642
76,02/01/2011,1,0,1,16,0,0,3,0.34,0.3333,0.71,0.1642
65,02/01/2011,1,0,1,17,0,0,1,0.34,0.3333,0.57,0.194
53,02/01/2011,1,0,1,18,0,0,2,0.36,0.3333,0.46,0.3284
30,02/01/2011,1,0,1,19,0,0,1,0.32,0.2879,0.42,0.4478
22,02/01/2011,1,0,1,20,0,0,1,0.3,0.2727,0.39,0.3582
31,02/01/2011,1,0,1,21,0,0,1,0.26,0.2273,0.44,0.3284
9,02/01/2011,1,0,1,22,0,0,1,0.24,0.2121,0.44,0.2985
8,02/01/2011,1,0,1,23,0,0,1,0.22,0.2273,0.47,0.1642
5,03/01/2011,1,0,1,0,0,1,1,0.22,0.197,0.44,0.3582
2,03/01/2011,1,0,1,1,0,1,1,0.2,0.1667,0.44,0.4179
1,03/01/2011,1,0,1,4,0,1,1,0.16,0.1364,0.47,0.3881
3,03/01/2011,1,0,1,5,0,1,1,0.16,0.1364,0.47,0.2836
30,03/01/2011,1,0,1,6,0,1,1,0.14,0.1061,0.5,0.3881
64,03/01/2011,1,0,1,7,0,1,1,0.14,0.1364,0.5,0.194
154,03/01/2011,1,0,1,8,0,1,1,0.14,0.1212,0.5,0.2836
88,03/01/2011,1,0,1,9,0,1,1,0.16,0.1364,0.43,0.3881
44,03/01/2011,1,0,1,10,0,1,1,0.18,0.1667,0.43,0.2537
51,03/01/2011,1,0,1,11,0,1,1,0.2,0.1818,0.4,0.3284
61,03/01/2011,1,0,1,12,0,1,1,0.22,0.2121,0.35,0.2985
61,03/01/2011,1,0,1,13,0,1,1,0.24,0.2121,0.35,0.2836
77,03/01/2011,1,0,1,14,0,1,1,0.26,0.2424,0.3,0.2836
72,03/01/2011,1,0,1,15,0,1,1,0.26,0.2424,0.3,0.2537
76,03/01/2011,1,0,1,16,0,1,1,0.26,0.2424,0.3,0.2537
157,03/01/2011,1,0,1,17,0,1,1,0.24,0.2273,0.3,0.2239
157,03/01/2011,1,0,1,18,0,1,1,0.24,0.2576,0.32,0.1045
110,03/01/2011,1,0,1,19,0,1,1,0.2,0.2576,0.47,0
52,03/01/2011,1,0,1,20,0,1,1,0.2,0.2273,0.47,0.1045
52,03/01/2011,1,0,1,21,0,1,1,0.18,0.197,0.64,0.1343
20,03/01/2011,1,0,1,22,0,1,1,0.14,0.1515,0.69,0.1343
12,03/01/2011,1,0,1,23,0,1,1,0.18,0.2121,0.55,0.1045
5,04/01/2011,1,0,1,0,0,2,1,0.16,0.1818,0.55,0.1045
2,04/01/2011,1,0,1,1,0,2,1,0.16,0.1818,0.59,0.1045
1,04/01/2011,1,0,1,2,0,2,1,0.14,0.1515,0.63,0.1343
2,04/01/2011,1,0,1,4,0,2,1,0.14,0.1818,0.63,0.0896
4,04/01/2011,1,0,1,5,0,2,1,0.12,0.1515,0.68,0.1045
36,04/01/2011,1,0,1,6,0,2,1,0.12,0.1515,0.74,0.1045
94,04/01/2011,1,0,1,7,0,2,1,0.12,0.1515,0.74,0.1343
179,04/01/2011,1,0,1,8,0,2,1,0.14,0.1515,0.69,0.1642
100,04/01/2011,1,0,1,9,0,2,1,0.16,0.1515,0.64,0.2239
42,04/01/2011,1,0,1,10,0,2,2,0.16,0.1364,0.69,0.3284
57,04/01/2011,1,0,1,11,0,2,1,0.22,0.2121,0.51,0.2985
78,04/01/2011,1,0,1,12,0,2,1,0.22,0.2273,0.51,0.1642
97,04/01/2011,1,0,1,13,0,2,1,0.24,0.2273,0.56,0.194
63,04/01/2011,1,0,1,14,0,2,1,0.26,0.2576,0.52,0.2239
65,04/01/2011,1,0,1,15,0,2,1,0.28,0.2727,0.52,0.2537
83,04/01/2011,1,0,1,16,0,2,1,0.3,0.2879,0.49,0.2537
212,04/01/2011,1,0,1,17,0,2,1,0.28,0.2727,0.48,0.2239
182,04/01/2011,1,0,1,18,0,2,1,0.26,0.2576,0.48,0.194
112,04/01/2011,1,0,1,19,0,2,1,0.24,0.2576,0.48,0.1045
54,04/01/2011,1,0,1,20,0,2,1,0.24,0.2576,0.48,0.1045
48,04/01/2011,1,0,1,21,0,2,1,0.22,0.2727,0.64,0
35,04/01/2011,1,0,1,22,0,2,1,0.22,0.2576,0.64,0.0896
11,04/01/2011,1,0,1,23,0,2,1,0.2,0.2273,0.69,0.0896
6,05/01/2011,1,0,1,0,0,3,1,0.2,0.2576,0.64,0
6,05/01/2011,1,0,1,1,0,3,1,0.16,0.197,0.74,0.0896
2,05/01/2011,1,0,1,2,0,3,1,0.16,0.197,0.74,0.0896
2,05/01/2011,1,0,1,4,0,3,1,0.24,0.2273,0.48,0.2239
3,05/01/2011,1,0,1,5,0,3,1,0.22,0.2273,0.47,0.1642
33,05/01/2011,1,0,1,6,0,3,1,0.2,0.197,0.47,0.2239
88,05/01/2011,1,0,1,7,0,3,1,0.18,0.1818,0.43,0.194
195,05/01/2011,1,0,1,8,0,3,1,0.2,0.1818,0.4,0.2985
115,05/01/2011,1,0,1,9,0,3,1,0.22,0.197,0.37,0.3284
57,05/01/2011,1,0,1,10,0,3,1,0.22,0.197,0.37,0.3284
46,05/01/2011,1,0,1,11,0,3,1,0.26,0.2273,0.33,0.3284
79,05/01/2011,1,0,1,12,0,3,1,0.26,0.2273,0.33,0.3284
71,05/01/2011,1,0,1,13,0,3,1,0.28,0.2576,0.3,0.2985
62,05/01/2011,1,0,1,14,0,3,1,0.3,0.2879,0.28,0.194
62,05/01/2011,1,0,1,15,0,3,1,0.3,0.2879,0.28,0.194
89,05/01/2011,1,0,1,16,0,3,1,0.3,0.3182,0.28,0.0896
190,05/01/2011,1,0,1,17,0,3,1,0.24,0.2273,0.38,0.194
169,05/01/2011,1,0,1,18,0,3,1,0.24,0.2424,0.38,0.1343
132,05/01/2011,1,0,1,19,0,3,1,0.24,0.2576,0.38,0.1045
89,05/01/2011,1,0,1,20,0,3,1,0.22,0.2273,0.47,0.1642
43,05/01/2011,1,0,1,21,0,3,1,0.2,0.197,0.51,0.194
42,05/01/2011,1,0,1,22,0,3,1,0.18,0.197,0.55,0.1343
19,05/01/2011,1,0,1,23,0,3,1,0.2,0.2576,0.47,0
11,06/01/2011,1,0,1,0,0,4,1,0.18,0.2424,0.55,0
4,06/01/2011,1,0,1,1,0,4,1,0.16,0.2273,0.64,0
2,06/01/2011,1,0,1,2,0,4,1,0.16,0.2273,0.64,0
1,06/01/2011,1,0,1,4,0,4,2,0.16,0.197,0.64,0.0896
4,06/01/2011,1,0,1,5,0,4,2,0.14,0.1818,0.69,0.0896
36,06/01/2011,1,0,1,6,0,4,2,0.14,0.1667,0.63,0.1045
95,06/01/2011,1,0,1,7,0,4,2,0.16,0.2273,0.59,0
219,06/01/2011,1,0,1,8,0,4,1,0.16,0.2273,0.59,0
122,06/01/2011,1,0,1,9,0,4,2,0.18,0.2424,0.51,0
45,06/01/2011,1,0,1,10,0,4,1,0.2,0.2576,0.47,0
59,06/01/2011,1,0,1,11,0,4,1,0.22,0.2576,0.44,0.0896
84,06/01/2011,1,0,1,12,0,4,1,0.26,0.2879,0.35,0
67,06/01/2011,1,0,1,13,0,4,1,0.26,0.2727,0.35,0.1045
70,06/01/2011,1,0,1,14,0,4,1,0.28,0.2727,0.36,0.1642
62,06/01/2011,1,0,1,15,0,4,1,0.28,0.2727,0.36,0
86,06/01/2011,1,0,1,16,0,4,1,0.26,0.2576,0.38,0.1642
172,06/01/2011,1,0,1,17,0,4,1,0.22,0.2273,0.51,0.1642
163,06/01/2011,1,0,1,18,0,4,1,0.22,0.2273,0.51,0.1343
112,06/01/2011,1,0,1,19,0,4,1,0.22,0.2576,0.55,0.0896
69,06/01/2011,1,0,1,20,0,4,1,0.2,0.2121,0.51,0.1642
48,06/01/2011,1,0,1,21,0,4,2,0.22,0.2121,0.55,0.2239
52,06/01/2011,1,0,1,22,0,4,2,0.22,0.2121,0.51,0.2836
23,06/01/2011,1,0,1,23,0,4,2,0.2,0.197,0.59,0.194
17,07/01/2011,1,0,1,0,0,5,2,0.2,0.197,0.64,0.194
7,07/01/2011,1,0,1,1,0,5,2,0.2,0.197,0.69,0.2239
1,07/01/2011,1,0,1,2,0,5,2,0.2,0.197,0.69,0.2239
1,07/01/2011,1,0,1,4,0,5,2,0.2,0.2121,0.69,0.1343
5,07/01/2011,1,0,1,5,0,5,3,0.22,0.2727,0.55,0
34,07/01/2011,1,0,1,6,0,5,2,0.2,0.2576,0.69,0
84,07/01/2011,1,0,1,7,0,5,1,0.2,0.2121,0.69,0.1343
210,07/01/2011,1,0,1,8,0,5,1,0.2,0.197,0.51,0.2537
134,07/01/2011,1,0,1,9,0,5,1,0.2,0.1818,0.47,0.2985
63,07/01/2011,1,0,1,10,0,5,1,0.22,0.197,0.37,0.3284
67,07/01/2011,1,0,1,11,0,5,2,0.2,0.197,0.4,0.2239
59,07/01/2011,1,0,1,12,0,5,2,0.2,0.197,0.37,0.2537
73,07/01/2011,1,0,1,13,0,5,2,0.2,0.1818,0.37,0.2836
50,07/01/2011,1,0,1,14,0,5,2,0.2,0.197,0.4,0.2537
72,07/01/2011,1,0,1,15,0,5,2,0.2,0.2121,0.37,0.1642
87,07/01/2011,1,0,1,16,0,5,2,0.2,0.2121,0.37,0.1642
187,07/01/2011,1,0,1,17,0,5,2,0.2,0.2576,0.37,0
123,07/01/2011,1,0,1,18,0,5,1,0.2,0.2273,0.4,0.0896
95,07/01/2011,1,0,1,19,0,5,1,0.16,0.197,0.55,0.0896
51,07/01/2011,1,0,1,20,0,5,1,0.18,0.2121,0.47,0.1045
39,07/01/2011,1,0,1,21,0,5,1,0.18,0.197,0.47,0.1343
36,07/01/2011,1,0,1,22,0,5,2,0.18,0.197,0.43,0.1642
15,07/01/2011,1,0,1,23,0,5,2,0.18,0.197,0.51,0.1642
25,08/01/2011,1,0,1,0,0,6,2,0.18,0.197,0.51,0.1642
16,08/01/2011,1,0,1,1,0,6,2,0.18,0.2121,0.55,0.0896
16,08/01/2011,1,0,1,2,0,6,2,0.18,0.2424,0.55,0
7,08/01/2011,1,0,1,3,0,6,3,0.18,0.197,0.55,0.1642
1,08/01/2011,1,0,1,4,0,6,3,0.18,0.197,0.55,0.1642
5,08/01/2011,1,0,1,5,0,6,2,0.16,0.1667,0.74,0.1642
2,08/01/2011,1,0,1,6,0,6,2,0.16,0.1667,0.74,0.1642
9,08/01/2011,1,0,1,7,0,6,2,0.16,0.1818,0.74,0.1045
15,08/01/2011,1,0,1,8,0,6,3,0.16,0.1818,0.93,0.1045
20,08/01/2011,1,0,1,9,0,6,3,0.16,0.1818,0.93,0.1045
61,08/01/2011,1,0,1,10,0,6,2,0.18,0.197,0.8,0.1642
62,08/01/2011,1,0,1,11,0,6,2,0.2,0.1818,0.69,0.3881
98,08/01/2011,1,0,1,12,0,6,2,0.2,0.1818,0.59,0.3582
102,08/01/2011,1,0,1,13,0,6,1,0.2,0.1818,0.44,0.3284
95,08/01/2011,1,0,1,14,0,6,1,0.2,0.1667,0.32,0.4925
74,08/01/2011,1,0,1,15,0,6,1,0.2,0.1667,0.32,0.4478
76,08/01/2011,1,0,1,16,0,6,1,0.18,0.1364,0.29,0.4478
69,08/01/2011,1,0,1,17,0,6,1,0.16,0.1212,0.37,0.5522
55,08/01/2011,1,0,1,18,0,6,1,0.14,0.1212,0.39,0.2985
30,08/01/2011,1,0,1,19,0,6,1,0.14,0.1212,0.36,0.2537
28,08/01/2011,1,0,1,20,0,6,1,0.12,0.1212,0.36,0.2537
37,08/01/2011,1,0,1,21,0,6,1,0.12,0.1061,0.39,0.3582
34,08/01/2011,1,0,1,22,0,6,1,0.12,0.1061,0.36,0.3881
22,08/01/2011,1,0,1,23,0,6,1,0.1,0.0606,0.39,0.4478
25,09/01/2011,1,0,1,0,0,0,1,0.1,0.0758,0.42,0.3881
12,09/01/2011,1,0,1,1,0,0,1,0.1,0.0606,0.42,0.4627
11,09/01/2011,1,0,1,2,0,0,1,0.1,0.0606,0.46,0.4627
4,09/01/2011,1,0,1,3,0,0,1,0.1,0.0758,0.46,0.4179
1,09/01/2011,1,0,1,4,0,0,1,0.08,0.0909,0.53,0.194
1,09/01/2011,1,0,1,5,0,0,1,0.08,0.0909,0.53,0.194
1,09/01/2011,1,0,1,6,0,0,1,0.1,0.0909,0.49,0.2836
6,09/01/2011,1,0,1,7,0,0,1,0.08,0.0909,0.53,0.194
10,09/01/2011,1,0,1,8,0,0,1,0.1,0.0909,0.49,0.2836
19,09/01/2011,1,0,1,9,0,0,1,0.12,0.0758,0.46,0.5224
49,09/01/2011,1,0,1,10,0,0,1,0.14,0.1061,0.43,0.3881
49,09/01/2011,1,0,1,11,0,0,1,0.16,0.1212,0.4,0.5224
83,09/01/2011,1,0,1,12,0,0,1,0.18,0.1364,0.37,0.4478
75,09/01/2011,1,0,1,13,0,0,1,0.2,0.1667,0.34,0.4478
72,09/01/2011,1,0,1,14,0,0,1,0.22,0.1818,0.32,0.4627
82,09/01/2011,1,0,1,15,0,0,1,0.22,0.197,0.35,0.3582
92,09/01/2011,1,0,1,16,0,0,1,0.2,0.1667,0.34,0.4478
62,09/01/2011,1,0,1,17,0,0,1,0.18,0.1515,0.37,0.3881
48,09/01/2011,1,0,1,18,0,0,1,0.16,0.1364,0.4,0.3284
41,09/01/2011,1,0,1,19,0,0,1,0.16,0.1364,0.43,0.3284
38,09/01/2011,1,0,1,20,0,0,1,0.14,0.1212,0.46,0.2537
20,09/01/2011,1,0,1,21,0,0,1,0.14,0.1061,0.46,0.4179
15,09/01/2011,1,0,1,22,0,0,1,0.14,0.1212,0.46,0.2985
6,09/01/2011,1,0,1,23,0,0,1,0.12,0.1364,0.5,0.194
5,10/01/2011,1,0,1,0,0,1,1,0.12,0.1212,0.5,0.2836
1,10/01/2011,1,0,1,1,0,1,1,0.12,0.1212,0.5,0.2836
3,10/01/2011,1,0,1,2,0,1,1,0.12,0.1212,0.5,0.2239
1,10/01/2011,1,0,1,3,0,1,1,0.12,0.1212,0.5,0.2239
3,10/01/2011,1,0,1,4,0,1,1,0.1,0.1212,0.54,0.1343
3,10/01/2011,1,0,1,5,0,1,1,0.1,0.1061,0.54,0.2537
31,10/01/2011,1,0,1,6,0,1,1,0.12,0.1212,0.5,0.2836
77,10/01/2011,1,0,1,7,0,1,1,0.12,0.1212,0.5,0.2239
188,10/01/2011,1,0,1,8,0,1,2,0.12,0.1212,0.5,0.2836
94,10/01/2011,1,0,1,9,0,1,2,0.14,0.1212,0.5,0.2537
31,10/01/2011,1,0,1,10,0,1,2,0.14,0.1212,0.5,0.2985
30,10/01/2011,1,0,1,11,0,1,2,0.16,0.1364,0.47,0.2836
52,10/01/2011,1,0,1,12,0,1,2,0.2,0.1818,0.4,0.2836
54,10/01/2011,1,0,1,13,0,1,2,0.2,0.1818,0.4,0.2836
47,10/01/2011,1,0,1,14,0,1,2,0.2,0.197,0.4,0.2239
45,10/01/2011,1,0,1,15,0,1,2,0.2,0.197,0.4,0.2239
74,10/01/2011,1,0,1,16,0,1,1,0.2,0.2121,0.4,0.1343
178,10/01/2011,1,0,1,17,0,1,1,0.2,0.2273,0.4,0.1045
155,10/01/2011,1,0,1,18,0,1,1,0.2,0.197,0.4,0.2239
95,10/01/2011,1,0,1,19,0,1,1,0.16,0.1667,0.47,0.1642
74,10/01/2011,1,0,1,20,0,1,1,0.16,0.1667,0.5,0.1642
38,10/01/2011,1,0,1,21,0,1,1,0.14,0.1364,0.59,0.194
24,10/01/2011,1,0,1,22,0,1,1,0.14,0.1515,0.59,0.1642
18,10/01/2011,1,0,1,23,0,1,1,0.14,0.1515,0.59,0.1642
12,11/01/2011,1,0,1,0,0,2,1,0.14,0.1667,0.59,0.1045
3,11/01/2011,1,0,1,1,0,2,1,0.14,0.1515,0.59,0.1642
3,11/01/2011,1,0,1,2,0,2,2,0.16,0.1515,0.55,0.194
6,11/01/2011,1,0,1,5,0,2,2,0.16,0.1818,0.55,0.1343
27,11/01/2011,1,0,1,6,0,2,2,0.16,0.1818,0.55,0.1343
99,11/01/2011,1,0,1,7,0,2,2,0.16,0.2273,0.55,0
217,11/01/2011,1,0,1,8,0,2,2,0.18,0.2121,0.51,0.0896
130,11/01/2011,1,0,1,9,0,2,2,0.18,0.197,0.51,0.1642
54,11/01/2011,1,0,1,10,0,2,2,0.2,0.2121,0.51,0.1642
35,11/01/2011,1,0,1,11,0,2,2,0.2,0.2121,0.47,0.1343
57,11/01/2011,1,0,1,12,0,2,2,0.2,0.2273,0.51,0.1045
52,11/01/2011,1,0,1,13,0,2,2,0.2,0.2273,0.59,0.0896
63,11/01/2011,1,0,1,14,0,2,2,0.2,0.2273,0.59,0.0896
47,11/01/2011,1,0,1,15,0,2,2,0.16,0.197,0.8,0.0896
76,11/01/2011,1,0,1,16,0,2,2,0.16,0.1515,0.86,0.2239
136,11/01/2011,1,0,1,17,0,2,2,0.16,0.1515,0.86,0.2239
95,11/01/2011,1,0,1,18,0,2,3,0.16,0.1818,0.93,0.1045
51,11/01/2011,1,0,1,19,0,2,3,0.16,0.2273,0.93,0
32,11/01/2011,1,0,1,20,0,2,3,0.16,0.1515,0.93,0.194
20,11/01/2011,1,0,1,21,0,2,3,0.16,0.197,0.86,0.0896
29,11/01/2011,1,0,1,22,0,2,3,0.16,0.1818,0.93,0.1045
19,11/01/2011,1,0,1,23,0,2,3,0.16,0.197,0.93,0.0896
7,12/01/2011,1,0,1,0,0,3,2,0.16,0.197,0.86,0.0896
6,12/01/2011,1,0,1,1,0,3,2,0.16,0.1818,0.86,0.1045
1,12/01/2011,1,0,1,2,0,3,1,0.14,0.1515,0.86,0.1343
5,12/01/2011,1,0,1,5,0,3,1,0.14,0.1515,0.86,0.1642
16,12/01/2011,1,0,1,6,0,3,1,0.12,0.1515,0.93,0.1343
54,12/01/2011,1,0,1,7,0,3,1,0.14,0.1515,0.69,0.1343
128,12/01/2011,1,0,1,8,0,3,1,0.16,0.1667,0.59,0.1642
81,12/01/2011,1,0,1,9,0,3,1,0.16,0.1364,0.59,0.3284
39,12/01/2011,1,0,1,10,0,3,1,0.18,0.1818,0.55,0.2239
35,12/01/2011,1,0,1,11,0,3,1,0.2,0.1818,0.51,0.3881
55,12/01/2011,1,0,1,12,0,3,1,0.2,0.1515,0.47,0.5821
49,12/01/2011,1,0,1,13,0,3,1,0.22,0.197,0.44,0.3582
44,12/01/2011,1,0,1,14,0,3,1,0.2,0.1818,0.47,0.3284
49,12/01/2011,1,0,1,15,0,3,1,0.2,0.1667,0.47,0.4179
68,12/01/2011,1,0,1,16,0,3,1,0.22,0.197,0.44,0.3284
139,12/01/2011,1,0,1,17,0,3,1,0.2,0.1818,0.47,0.3582
137,12/01/2011,1,0,1,18,0,3,1,0.2,0.1515,0.47,0.5224
83,12/01/2011,1,0,1,19,0,3,1,0.18,0.1515,0.47,0.4179
56,12/01/2011,1,0,1,20,0,3,1,0.16,0.1364,0.5,0.3284
57,12/01/2011,1,0,1,21,0,3,1,0.16,0.1364,0.55,0.3284
33,12/01/2011,1,0,1,22,0,3,1,0.16,0.1212,0.55,0.4478
20,12/01/2011,1,0,1,23,0,3,1,0.14,0.1061,0.59,0.4179
7,13/01/2011,1,0,1,0,0,4,1,0.14,0.1212,0.59,0.2836
2,13/01/2011,1,0,1,1,0,4,1,0.14,0.1212,0.5,0.2836
2,13/01/2011,1,0,1,2,0,4,1,0.14,0.1212,0.5,0.3582
3,13/01/2011,1,0,1,3,0,4,1,0.14,0.1212,0.5,0.3284
4,13/01/2011,1,0,1,4,0,4,1,0.14,0.1212,0.5,0.2537
3,13/01/2011,1,0,1,5,0,4,1,0.14,0.1212,0.5,0.2985
28,13/01/2011,1,0,1,6,0,4,1,0.12,0.1515,0.54,0.1343
72,13/01/2011,1,0,1,7,0,4,1,0.12,0.1515,0.54,0.1343
202,13/01/2011,1,0,1,8,0,4,1,0.14,0.1364,0.5,0.194
139,13/01/2011,1,0,1,9,0,4,1,0.14,0.1212,0.5,0.3284
38,13/01/2011,1,0,1,10,0,4,2,0.16,0.1364,0.5,0.3582
37,13/01/2011,1,0,1,11,0,4,2,0.2,0.1667,0.44,0.4478
52,13/01/2011,1,0,1,12,0,4,1,0.2,0.1667,0.44,0.4179
83,13/01/2011,1,0,1,13,0,4,1,0.22,0.197,0.41,0.4478
42,13/01/2011,1,0,1,14,0,4,1,0.22,0.197,0.41,0.3881
60,13/01/2011,1,0,1,15,0,4,1,0.24,0.2121,0.38,0.2985
78,13/01/2011,1,0,1,16,0,4,1,0.24,0.2121,0.38,0.3582
162,13/01/2011,1,0,1,17,0,4,1,0.2,0.1818,0.4,0.2836
144,13/01/2011,1,0,1,18,0,4,1,0.2,0.1818,0.4,0.3284
99,13/01/2011,1,0,1,19,0,4,1,0.16,0.1515,0.47,0.2537
64,13/01/2011,1,0,1,20,0,4,1,0.16,0.1515,0.47,0.2239
40,13/01/2011,1,0,1,21,0,4,1,0.14,0.1212,0.46,0.2985
30,13/01/2011,1,0,1,22,0,4,1,0.14,0.1212,0.46,0.3284
15,13/01/2011,1,0,1,23,0,4,1,0.12,0.1364,0.5,0.194
14,14/01/2011,1,0,1,0,0,5,1,0.12,0.1364,0.5,0.194
5,14/01/2011,1,0,1,1,0,5,1,0.1,0.1212,0.54,0.1642
1,14/01/2011,1,0,1,2,0,5,1,0.1,0.1212,0.54,0.1343
1,14/01/2011,1,0,1,3,0,5,1,0.1,0.1364,0.54,0.1045
8,14/01/2011,1,0,1,5,0,5,1,0.1,0.1364,0.54,0.0896
17,14/01/2011,1,0,1,6,0,5,1,0.1,0.1818,0.54,0
70,14/01/2011,1,0,1,7,0,5,1,0.1,0.1212,0.74,0.1642
158,14/01/2011,1,0,1,8,0,5,1,0.12,0.1667,0.68,0
117,14/01/2011,1,0,1,9,0,5,1,0.14,0.1515,0.69,0.1343
44,14/01/2011,1,0,1,10,0,5,1,0.18,0.1818,0.55,0.194
53,14/01/2011,1,0,1,11,0,5,1,0.18,0.1667,0.51,0.2836
61,14/01/2011,1,0,1,12,0,5,1,0.2,0.197,0.44,0.2537
77,14/01/2011,1,0,1,13,0,5,1,0.22,0.197,0.37,0.3881
64,14/01/2011,1,0,1,14,0,5,1,0.22,0.2121,0.41,0.2836
68,14/01/2011,1,0,1,15,0,5,1,0.24,0.2424,0.38,0.1642
90,14/01/2011,1,0,1,16,0,5,1,0.22,0.2424,0.41,0.1045
159,14/01/2011,1,0,1,17,0,5,1,0.22,0.2273,0.41,0.1642
139,14/01/2011,1,0,1,18,0,5,1,0.2,0.2576,0.47,0
92,14/01/2011,1,0,1,19,0,5,1,0.16,0.197,0.59,0.0896
68,14/01/2011,1,0,1,20,0,5,1,0.18,0.2424,0.59,0
52,14/01/2011,1,0,1,21,0,5,1,0.16,0.2273,0.69,0
36,14/01/2011,1,0,1,22,0,5,2,0.16,0.2273,0.69,0
27,14/01/2011,1,0,1,23,0,5,2,0.18,0.2424,0.55,0
28,15/01/2011,1,0,1,0,0,6,1,0.18,0.2424,0.55,0
20,15/01/2011,1,0,1,1,0,6,2,0.16,0.197,0.59,0.0896
12,15/01/2011,1,0,1,2,0,6,2,0.16,0.197,0.59,0.0896
8,15/01/2011,1,0,1,3,0,6,2,0.16,0.2273,0.59,0
5,15/01/2011,1,0,1,4,0,6,2,0.16,0.2273,0.59,0
1,15/01/2011,1,0,1,5,0,6,1,0.16,0.2273,0.59,0
3,15/01/2011,1,0,1,6,0,6,1,0.14,0.1667,0.63,0.1045
10,15/01/2011,1,0,1,7,0,6,1,0.14,0.2121,0.63,0
23,15/01/2011,1,0,1,8,0,6,1,0.14,0.1515,0.63,0.1343
33,15/01/2011,1,0,1,9,0,6,1,0.16,0.1818,0.64,0.1343
59,15/01/2011,1,0,1,10,0,6,1,0.18,0.197,0.59,0.1642
72,15/01/2011,1,0,1,11,0,6,1,0.2,0.197,0.55,0.2239
89,15/01/2011,1,0,1,12,0,6,1,0.24,0.2273,0.48,0.2239
101,15/01/2011,1,0,1,13,0,6,1,0.28,0.2576,0.38,0.2985
118,15/01/2011,1,0,1,14,0,6,1,0.3,0.2879,0.39,0.2836
129,15/01/2011,1,0,1,15,0,6,2,0.32,0.3182,0.36,0.194
128,15/01/2011,1,0,1,16,0,6,2,0.34,0.3333,0.34,0.194
83,15/01/2011,1,0,1,17,0,6,2,0.32,0.303,0.36,0.2836
84,15/01/2011,1,0,1,18,0,6,2,0.3,0.2879,0.45,0.2537
74,15/01/2011,1,0,1,19,0,6,2,0.32,0.303,0.39,0.2537
